Distance;Count
0;17016
3,25;5852
6,5;7022
9,75;5384
12,99;4916
16,24;4150
19,49;3480
22,73;2298
25,98;1652
29,23;1352
32,47;1148
35,72;702
38,97;458
42,21;340
45,46;302
48,71;246
51,95;194
55,2;158
58,45;114
61,69;70
64,94;92
68,19;54
71,43;42
74,68;36
77,93;24
81,17;38
84,42;26
87,67;24
90,92;8
94,16;12
97,41;20
100,66;8
103,9;4
107,15;0
110,4;8
113,64;4
116,89;16
120,14;4
123,38;8
126,63;4
129,88;0
133,12;0
136,37;0
139,62;4
142,86;0
146,11;2
149,36;8
152,6;2
155,85;4
159,1;0
162,35;0
165,59;4
168,84;0
172,09;4
175,33;0
178,58;0
181,83;4
185,07;4
188,32;0
191,57;0
194,81;0
198,06;0
201,31;0
204,55;0
207,8;0
211,05;0
214,29;0
217,54;0
220,79;0
224,03;4
227,28;0
230,53;0
233,77;0
237,02;0
240,27;0
243,52;0
246,76;0
250,01;0
253,26;0
256,5;0
259,75;0
263;0
266,24;0
269,49;0
272,74;0
275,98;0
279,23;0
282,48;4
285,72;0
288,97;0
292,22;0
295,46;0
298,71;0
301,96;0
305,2;4
308,45;0
311,7;0
314,95;0
318,19;0
321,44;0
324,69;4
